"id","code","name"
"ale-kommun","ale-kommun","Ale kommun"
"alingsås-kommun","alingsås-kommun","Alingsås kommun"
"alvesta-kommun","alvesta-kommun","Alvesta kommun"
"aneby-kommun","aneby-kommun","Aneby kommun"
"arboga-kommun","arboga-kommun","Arboga kommun"
"arjeplogs-kommun","arjeplogs-kommun","Arjeplogs kommun"
"arvidsjaurs-kommun","arvidsjaurs-kommun","Arvidsjaurs kommun"
"arvika-kommun","arvika-kommun","Arvika kommun"
"askersunds-kommun","askersunds-kommun","Askersunds kommun"
"avesta-kommun","avesta-kommun","Avesta kommun"
"bengtsfors-kommun","bengtsfors-kommun","Bengtsfors kommun"
"bergs-kommun","bergs-kommun","Bergs kommun"
"bjurholms-kommun","bjurholms-kommun","Bjurholms kommun"
"bjuvs-kommun","bjuvs-kommun","Bjuvs kommun"
"bodens-kommun","bodens-kommun","Bodens kommun"
"bollebygds-kommun","bollebygds-kommun","Bollebygds kommun"
"bollnäs-kommun","bollnäs-kommun","Bollnäs kommun"
"borgholms-kommun","borgholms-kommun","Borgholms kommun"
"borlänge-kommun","borlänge-kommun","Borlänge kommun"
"borås-kommun","borås-kommun","Borås kommun"
"botkyrka-kommun","botkyrka-kommun","Botkyrka kommun"
"boxholms-kommun","boxholms-kommun","Boxholms kommun"
"bromölla-kommun","bromölla-kommun","Bromölla kommun"
"bräcke-kommun","bräcke-kommun","Bräcke kommun"
"burlövs-kommun","burlövs-kommun","Burlövs kommun"
"båstads-kommun","båstads-kommun","Båstads kommun"
"dals-eds-kommun","dals-eds-kommun","Dals-Eds kommun"
"danderyds-kommun","danderyds-kommun","Danderyds kommun"
"degerfors-kommun","degerfors-kommun","Degerfors kommun"
"dorotea-kommun","dorotea-kommun","Dorotea kommun"
"eda-kommun","eda-kommun","Eda kommun"
"ekerö-kommun","ekerö-kommun","Ekerö kommun"
"eksjö-kommun","eksjö-kommun","Eksjö kommun"
"emmaboda-kommun","emmaboda-kommun","Emmaboda kommun"
"enköpings-kommun","enköpings-kommun","Enköpings kommun"
"eskilstuna-kommun","eskilstuna-kommun","Eskilstuna kommun"
"eslövs-kommun","eslövs-kommun","Eslövs kommun"
"essunga-kommun","essunga-kommun","Essunga kommun"
"fagersta-kommun","fagersta-kommun","Fagersta kommun"
"falkenbergs-kommun","falkenbergs-kommun","Falkenbergs kommun"
"falköpings-kommun","falköpings-kommun","Falköpings kommun"
"falu-kommun","falu-kommun","Falu kommun"
"filipstads-kommun","filipstads-kommun","Filipstads kommun"
"finspångs-kommun","finspångs-kommun","Finspångs kommun"
"flens-kommun","flens-kommun","Flens kommun"
"forshaga-kommun","forshaga-kommun","Forshaga kommun"
"färgelanda-kommun","färgelanda-kommun","Färgelanda kommun"
"gagnefs-kommun","gagnefs-kommun","Gagnefs kommun"
"gislaveds-kommun","gislaveds-kommun","Gislaveds kommun"
"gnesta-kommun","gnesta-kommun","Gnesta kommun"
"gnosjö-kommun","gnosjö-kommun","Gnosjö kommun"
"gotlands-kommun","gotlands-kommun","Gotlands kommun"
"grums-kommun","grums-kommun","Grums kommun"
"grästorps-kommun","grästorps-kommun","Grästorps kommun"
"gullspångs-kommun","gullspångs-kommun","Gullspångs kommun"
"gällivare-kommun","gällivare-kommun","Gällivare kommun"
"gävle-kommun","gävle-kommun","Gävle kommun"
"göteborgs-kommun","göteborgs-kommun","Göteborgs kommun"
"götene-kommun","götene-kommun","Götene kommun"
"habo-kommun","habo-kommun","Habo kommun"
"hagfors-kommun","hagfors-kommun","Hagfors kommun"
"hallsbergs-kommun","hallsbergs-kommun","Hallsbergs kommun"
"hallstahammars-kommun","hallstahammars-kommun","Hallstahammars kommun"
